accuracy	dm_source_file	leksikalnost	rec	trial_number	NoM	RT
95.23809524	21-2018A.csv	rec	BOJA	88	1	496
91	23-2018B.csv	rec	BOJA	88	1	462
86.11111111	26-2018A.csv	rec	BOJA	88	1	632
93.33333333	33-2018A.csv	rec	BOJA	88	1	514
92.9245283	34-2018B.csv	rec	BOJA	88	1	757
85.32110092	35-2018A.csv	rec	BOJA	88	1	820
82.63888889	36-2018B.csv	rec	BOJA	88	1	547
95.45454545	37-2018A.csv	rec	BOJA	88	1	552
98.57142857	40-2018A.csv	rec	BOJA	88	1	475
88.42592593	4-2018B.csv	rec	BOJA	88	1	717
91.13924051	42-2018A.csv	rec	BOJA	88	1	461
92.30769231	43-2018A.csv	rec	BOJA	88	1	529
92.46231156	44-2018B.csv	rec	BOJA	88	1	554
91.66666667	45-2018A.csv	rec	BOJA	88	1	798
96.66666667	48-2018A.csv	rec	BOJA	88	1	662
76.92307692	50-2018A.csv	rec	BOJA	88	1	606
82.80254777	53-2018B.csv	rec	BOJA	88	1	639
91.61290323	54-2018B.csv	rec	BOJA	88	1	510
94.97206704	55-2018B.csv	rec	BOJA	88	1	545
97.11538462	56-2018A.csv	rec	BOJA	88	1	497
93.61702128	56-2018B.csv	rec	BOJA	88	1	475
85.41666667	59-2018A.csv	rec	BOJA	88	1	646
96.05263158	61-2018B.csv	rec	BOJA	88	1	529
95.37572254	6-2018B.csv	rec	BOJA	88	1	1011
98.21428571	63-2018A.csv	rec	BOJA	88	1	536
94.71153846	65-2018B.csv	rec	BOJA	88	1	518
91.09589041	67-2018B.csv	rec	BOJA	88	1	565
92.70833333	68-2018B.csv	rec	BOJA	88	1	498
92.59259259	7-2018A.csv	rec	BOJA	88	1	489
98.95833333	73-2018A.csv	rec	BOJA	88	1	554
100	8-2018A.csv	rec	BOJA	88	1	613
91.62011173	99-2018B.csv	rec	BOJA	88	1	596
85.71428571	02-2018A.csv	rec	BRBLJANJE	56	1	829
92.38095238	09-2018B.csv	rec	BRBLJANJE	56	1	1053
81.25	10-2018A.csv	rec	BRBLJANJE	56	1	1361
92.64705882	1-2018A.csv	rec	BRBLJANJE	56	1	760
96.61016949	12-2018B.csv	rec	BRBLJANJE	56	1	803
92.41706161	14-2018B.csv	rec	BRBLJANJE	56	1	715
94.55782313	18-2018B.csv	rec	BRBLJANJE	56	1	628
89.16256158	19-2018B.csv	rec	BRBLJANJE	56	1	713
88.75	20-2018A.csv	rec	BRBLJANJE	56	1	677
89.71428571	23-2018B.csv	rec	BRBLJANJE	56	1	549
88.28828829	26-2018A.csv	rec	BRBLJANJE	56	1	1065
93.26923077	31-2018A.csv	rec	BRBLJANJE	56	1	563
92.15686275	33-2018A.csv	rec	BRBLJANJE	56	1	727
78.57142857	35-2018A.csv	rec	BRBLJANJE	56	1	1051
83.43558282	36-2018B.csv	rec	BRBLJANJE	56	1	746
96.2962963	37-2018A.csv	rec	BRBLJANJE	56	1	1148
100	40-2018A.csv	rec	BRBLJANJE	56	1	772
91.25	42-2018A.csv	rec	BRBLJANJE	56	1	645
89.28571429	43-2018A.csv	rec	BRBLJANJE	56	1	1002
92.41706161	44-2018B.csv	rec	BRBLJANJE	56	1	748
93.33333333	45-2018A.csv	rec	BRBLJANJE	56	1	800
96.77419355	48-2018A.csv	rec	BRBLJANJE	56	1	868
